n_qubits,depth,shots,noise,acc_mean,runtime_sec,improvement_over_classical
2,1,0,False,0.808983451536643,5.480880498886108,-0.18723404255319143
2,1,1024,False,0.8052009456264776,5.223763704299927,-0.1910165484633568
2,2,0,False,0.8132387706855791,5.733611822128296,-0.18297872340425525
2,2,1024,False,0.8052009456264776,3.006098985671997,-0.1910165484633568
3,1,0,False,0.91725768321513,1.6328587532043457,-0.07895981087470438
3,1,1024,False,0.914420803782506,1.078493595123291,-0.08179669030732839
3,2,0,False,0.8699763593380615,2.339073896408081,-0.1262411347517729
3,2,1024,False,0.8676122931442081,2.9387130737304688,-0.12860520094562633
4,1,0,False,0.8567375886524823,3.113778591156006,-0.13947990543735211
4,1,1024,False,0.8614657210401891,4.104476690292358,-0.13475177304964525
4,2,0,False,0.7139479905437353,5.460583686828613,-0.28226950354609914
4,2,1024,False,0.7139479905437353,12.825358152389526,-0.28226950354609914
